,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
0,长津湖,2021-09-30,577534,46.383896,22,7.4,728206,"['陈凯歌', '徐克', '林超贤']","['吴京', '易烊千玺', '段奕宏', '朱亚文', '李晨', '韩东君', '胡军', '张涵予', '黄轩', '欧豪', '史彭元', '李岷城', '唐国强', '杨一威', '周小斌', '林永健', '王宁', '刘劲', '卢奇', '王伍福', '耿乐', '曹阳', '李军', '王同辉', '艾米', '石昊正', '许明虎']","['剧情', '历史', '战争']","['中国大陆', '中国香港']","['汉语普通话', '英语']",176
1,战狼2,2017-07-27,569454,35.594273,37,7.1,886552,['吴京'],"['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗', '丁海峰', '淳于珊珊', '余男', '于谦', '石兆琪', '海蒂·莫尼梅克', '奥列格·亚历山大罗维奇', '艾伦·托尼', '赛尔·哈里斯', '高明', '王森', '苇青', '程愫', '张永达', '郭秋成', '杜建桥', '周冠廷', '安·詹姆斯', '黛安娜·希拉', '孙率航', '张馨月', '关海龙', '安妮塔·斯图尔特', '特雷弗·琼斯', '奥斯汀·普里斯特', '克莱·方特诺特', '保罗·艾力卡', '丹尼尔·哈格里夫', '李镇男', '庄小龙', '陈云志', '肯尼迪']","['动作', '战争']",['中国大陆'],"['汉语普通话', '英语']",123
2,你好，李焕英,2021-02-12,541308,44.756912,24,7.7,1370579,['贾玲'],"['贾玲', '张小斐', '沈腾', '陈赫', '刘佳', '丁嘉丽', '王琳', '杜源', '何翯', '何欢', '韩云云', '包文婧', '葛珊珊', '史策', '黄小猫', '许君聪', '卜钰', '刘宏禄', '魏翔', '孙集斌', '张泰维', '郭宇鹏', '朱天福', '王宇', '冯巩', '乔杉', '王小利', '宋晓峰', '董若溪', '曹贺军', '赵婷婷', '姬晴', '郭祥鹏', '李一峰', '潘斌龙']","['剧情', '喜剧', '奇幻']",['中国大陆'],['汉语普通话'],128
3,哪吒之魔童降世,2019-07-26,503570,35.692467,23,8.4,1782062,['饺子'],"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']","['剧情', '喜剧', '动画', '奇幻']",['中国大陆'],['汉语普通话'],110
4,流浪地球,2019-02-05,468700,44.59756,29,8.2,997317,['郭帆'],"['吴京', '刘德华', '李雪健', '沙溢', '宁理', '王智', '朱颜曼滋', '安地', '王若熹 ', '佟丽娅', '伟大力', '张衣', '天使', '克拉拉', '叶展飞', '倪腾', '胡先煦', '霍青', '刘寅', '国义骞', '吴恩璇', '王红卫', '孔大山', '徐建', '刘佳沄', '丁燕来', '郜昂', '严华', '李仁', '洪真', '王磊', '王一通', '杨洪涛', '赵叶索', '李路琦', '黄纪渊', '郑楚一', '吴静一', '付嘉灏', '瓦伦廷·沃罗布耶夫', '李一冉', '周强', '朱超艺', '何金和龙', '何金和金', '张涛', '向进', '李沛东 ']","['科幻', '冒险', '灾难']",['中国大陆'],"['汉语普通话', '俄语', '英语', '印地语', '法语']",173
5,唐人街探案3,2021-02-12,452341,47.60313,29,5.3,1039241,['陈思诚'],"['王宝强', '刘昊然', '妻夫木聪', '托尼·贾', '长泽雅美', '染谷将太', '铃木保奈美', '浅野忠信', '三浦友和', '尚语贤', '肖央', '张子枫', '邱泽', '张钧甯', '马伯骞', '程潇', '陈哲远', '李明轩', '崔雨鑫', '张一白', '文咏珊', '张熙然', '克拉拉', '树林伸', '刘德华', '陈思诚', '平山日和', '奥田瑛二', '六平直政', '酒向芳', '秋山成勋', '桥本爱实', '长井短', '宇治清高', '张国强', '大鹏', '陈祉希', '林沐然', '田代良德']","['喜剧', '悬疑']","['中国大陆', '中国香港', '日本']","['汉语普通话', '日语', '英语', '泰语']",136
6,满江红,2023-01-22,442026,49.76317,29,7.2,813505,['张艺谋'],"['沈腾', '易烊千玺', '张译', '雷佳音', '岳云鹏', '王佳怡', '潘斌龙', '余皑磊', '郭京飞', '欧豪', '魏翔', '张弛', '黄炎', '许静雅', '蒋鹏宇', '林博洋', '飞凡', '任思诺', '陈永胜', '张壹男']","['剧情', '喜剧', '悬疑', '古装']",['中国大陆'],"['汉语普通话', '中国手语']",159
7,复仇者联盟4：终局之战,2019-04-24,425013,48.958096,23,8.5,1043782,"['安东尼·罗素', '乔·罗素']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '乔什·布洛林', '保罗·路德', '凯伦·吉兰', '杰瑞米·雷纳', '斯嘉丽·约翰逊', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·黄', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']","['剧情', '动作', '科幻', '奇幻', '冒险']",['美国'],"['英语', '日语', '科萨语']",181
8,长津湖之水门桥,2022-02-01,406733,49.28735,19,7.2,340845,['徐克'],"['吴京', '易烊千玺', '朱亚文', '李晨', '韩东君', '张涵予', '耿乐', '杜淳', '段奕宏', '胡军', '王丽坤', '杨一威', '李卓扬', '何跃飞', '唐志强', '刘治威', '庄小龙', '辛玉波', '张跃', '许明虎', '王宁', '王振威', '陈泽轩', '李小锋', '詹姆斯·菲尔伯德', '约翰·克鲁兹']","['剧情', '历史', '战争']","['中国大陆', '中国香港']",['汉语普通话'],149
9,流浪地球2,2023-01-22,385774,51.142727,27,8.2,997318,['郭帆'],"['吴京', '刘德华', '李雪健', '沙溢', '宁理', '王智', '朱颜曼滋', '安地', '王若熹 ', '佟丽娅', '伟大力', '张衣', '天使', '克拉拉', '叶展飞', '倪腾', '胡先煦', '霍青', '刘寅', '国义骞', '吴恩璇', '王红卫', '孔大山', '徐建', '刘佳沄', '丁燕来', '郜昂', '严华', '李仁', '洪真', '王磊', '王一通', '杨洪涛', '赵叶索', '李路琦', '黄纪渊', '郑楚一', '吴静一', '付嘉灏', '瓦伦廷·沃罗布耶夫', '李一冉', '周强', '朱超艺', '何金和龙', '何金和金', '张涛', '向进', '李沛东 ']","['科幻', '冒险', '灾难']",['中国大陆'],"['汉语普通话', '俄语', '英语', '印地语', '法语']",173
